measure_document_id,title,normalized_title,measure_group,measure_family_bucket,semantic_type,time_behavior,calculation_pattern,formula_explicitness,observed_classification,base_measure_candidates,likely_fact_table,source_confidence,source_files,review_status,notes
IQVIA-PROMO-MEASURE-investments,Investments,Investments,Promotional Benchmarking,spending_share_voice,base_metric,MON|MQTR|QTR,"Spending Total Euro or PERIODROLLING(Spending Total Euro,-2,0)",pattern_inferred,covered_but_time_grain_gap,SPENDING_TOTAL_EUR,f_channel_dynamic_data,high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Concetto coperto; il gap e' la resa MON/MQTR del modello PBI.
IQVIA-PROMO-MEASURE-pct-share-of-investments,% Share of Investments,% Share of Investments,Promotional Benchmarking,spending_share_voice,derived_ratio,MON|MQTR|QTR,Spend / total spend in period * 100,explicit_or_near_explicit,covered_but_time_grain_gap,SPENDING_TOTAL_EUR,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,"La misura esiste in PBI, ma OAS la usa anche a frame MON/MQTR."
IQVIA-PROMO-MEASURE-product-details,Product Details,Product Details,Promotional Benchmarking,spending_share_voice,base_metric,MON|MQTR|QTR,"Product Details or PERIODROLLING(Product Details,-2,0)",pattern_inferred,covered_but_time_grain_gap,PRODUCT_DETAILS,f_channel_dynamic_data,high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Coperta a livello concettuale.
IQVIA-PROMO-MEASURE-pct-share-of-voice,% Share of Voice,% Share of Voice,Promotional Benchmarking,spending_share_voice,derived_ratio,MON|MQTR|QTR,Product Details / total product details in period * 100,explicit_or_near_explicit,covered_but_time_grain_gap,PRODUCT_DETAILS,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Coperta in PBI ma con semantica temporale diversa.
IQVIA-PROMO-MEASURE-investments-by-promotional-interactions,Investments by Promotional Interactions,Investments by Promotional Interactions,Promotional Benchmarking,spending_share_voice,segmented_metric,MON|MQTR|QTR,Spend split by Digital/Traditional interaction group,pattern_inferred,partial,,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Serve packaging esplicito per canale/interazione.
IQVIA-PROMO-MEASURE-pct-share-of-voice-by-promotional-interactions-channels,% Share of Voice by Promotional Interactions Channels,% Share of Voice by Promotional Interactions Channels,Promotional Benchmarking,spending_share_voice,segmented_ratio,MON|MQTR|QTR,SOV split by Digital/Traditional interaction group,pattern_inferred,partial,,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Non formalizzata come famiglia autonoma.
IQVIA-PROMO-MEASURE-selected-contact-metric,Selected Contact Metric,Selected Contact Metric,Promotional Outlook 1/2-2/2,dynamic_contact_metrics,base_metric_dynamic,MON|MQTR|QTR,"""Calls&Mentions"".""@{var_mea}{Contact Number}""",needs_validation,partial,CONTACT_NUMBER|WEIGHTED_CALLS,f_channel_dynamic_data,medium,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Il placeholder `@{var_mea}` suggerisce una famiglia dinamica non completamente tracciabile dal dump.
IQVIA-PROMO-MEASURE-pct-of-selected-contact-metric,% of Selected Contact Metric,% of Selected Contact Metric,Promotional Outlook 1/2-2/2,dynamic_contact_metrics,derived_ratio,MON|MQTR|QTR,Selected contact metric / period total * 100,explicit_or_near_explicit,partial,CONTACT_NUMBER|WEIGHTED_CALLS,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Il modello PBI non espone una famiglia esplicita di share per questa batteria.
IQVIA-PROMO-MEASURE-delta-vs-py-selected-contact-metric,+/- vs PY - Selected Contact Metric,+/- vs PY - Selected Contact Metric,Promotional Outlook 1/2-2/2,dynamic_contact_metrics,derived_delta,MON|MQTR|QTR,Selected contact metric - selected contact metric PY,explicit_or_near_explicit,missing,CONTACT_NUMBER|WEIGHTED_CALLS,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Richiesta chiaramente nei grafici OAS.
IQVIA-PROMO-MEASURE-deltapct-vs-py-selected-contact-metric,+/-% vs PY - Selected Contact Metric,+/-% vs PY - Selected Contact Metric,Promotional Outlook 1/2-2/2,dynamic_contact_metrics,derived_growth_pct,MON|MQTR|QTR,(Selected contact metric / selected contact metric PY - 1) * 100,explicit_or_near_explicit,missing,CONTACT_NUMBER|WEIGHTED_CALLS,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Non formalizzata nel semantic model corrente.
IQVIA-PROMO-MEASURE-prescription-spend-absolute,Prescription Spend Absolute,Prescription Spend Absolute,Monthly Prescription Overview,prescription_segmentation,base_metric_segmented,MON,@{var_mea_pre}{Spending Total Euro} / 1000 by current/future prescribing,needs_validation,derivable,SPENDING_TOTAL_EUR,f_channel_dynamic_data,medium,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Derivabile da Promo Spend con filtri su Current/Future Prescribing.
IQVIA-PROMO-MEASURE-prescription-spend-pct,Prescription Spend %,Prescription Spend %,Monthly Prescription Overview,prescription_segmentation,derived_ratio,MON,Spend by prescribing segment / month total * 100,explicit_or_near_explicit,derivable,SPENDING_TOTAL_EUR,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Richiede misure/pagine dedicate ma non nuova base dati.
IQVIA-PROMO-MEASURE-contact-number,Contact Number,Contact Number,Performance Measurement,performance_positive_prescribing,base_metric,MON|MQTR|QTR,"Contact Number or PERIODROLLING(Contact Number,-2,0)",pattern_inferred,covered_but_time_grain_gap,CONTACT_NUMBER,f_channel_dynamic_data,high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,"Il concetto esiste, il frame MON/MQTR no."
IQVIA-PROMO-MEASURE-share-of-contact-number,Share of Contact Number,Share of Contact Number,Performance Measurement,performance_positive_prescribing,derived_ratio,MON|MQTR|QTR,Contact Number / total contact number in period * 100,explicit_or_near_explicit,partial,CONTACT_NUMBER,f_channel_dynamic_data,medium_high,promo_oas_measure_inventory.csv|promo_oas_measure_migration_analysis.md,candidate_unreviewed,Manca una famiglia esplicita di denominatori/quote contatti.
