business_document_id,business_title,business_entity_type,promo_target_type,promo_target_name,promo_table_name,promo_column_name,match_basis,confidence,review_status,notes
IQVIA-GLOSSARY-atc1,ATC1,glossary_entry,dimension_column,d_atcs.ATC1,d_atcs,ATC1,exact_business_to_dimension_column,0.99,candidate_unreviewed,Direct hierarchy attribute match.
IQVIA-GLOSSARY-atc1,ATC1,glossary_entry,table_profile,d_atcs,d_atcs,,dimension_hierarchy_inference,0.95,candidate_unreviewed,ATC hierarchy appears in d_atcs.
IQVIA-GLOSSARY-atc2,ATC2,glossary_entry,dimension_column,d_atcs.ATC2,d_atcs,ATC2,exact_business_to_dimension_column,0.99,candidate_unreviewed,Direct hierarchy attribute match.
IQVIA-GLOSSARY-atc2,ATC2,glossary_entry,table_profile,d_atcs,d_atcs,,dimension_hierarchy_inference,0.95,candidate_unreviewed,ATC hierarchy appears in d_atcs.
IQVIA-GLOSSARY-atc3,ATC3,glossary_entry,dimension_column,d_atcs.ATC3,d_atcs,ATC3,exact_business_to_dimension_column,0.99,candidate_unreviewed,Direct hierarchy attribute match.
IQVIA-GLOSSARY-atc3,ATC3,glossary_entry,table_profile,d_atcs,d_atcs,,dimension_hierarchy_inference,0.95,candidate_unreviewed,ATC hierarchy appears in d_atcs.
IQVIA-GLOSSARY-atc4,ATC4,glossary_entry,dimension_column,d_atcs.ATC4,d_atcs,ATC4,exact_business_to_dimension_column,0.99,candidate_unreviewed,Direct hierarchy attribute match.
IQVIA-GLOSSARY-atc4,ATC4,glossary_entry,table_profile,d_atcs,d_atcs,,dimension_hierarchy_inference,0.95,candidate_unreviewed,ATC hierarchy appears in d_atcs.
IQVIA-GLOSSARY-cam-channels,Cam_Channels,glossary_entry,table_profile,d_comunication_channels,d_comunication_channels,,semantic_inference,0.58,candidate_unreviewed,Possible overlap with communication channels dimension; validate business semantics.
IQVIA-GLOSSARY-channel-type,Channel type,glossary_entry,table_profile,d_comunication_channels,d_comunication_channels,,semantic_inference,0.62,candidate_unreviewed,Likely channel taxonomy overlap; validate actual attribute availability.
IQVIA-GLOSSARY-channels,Channels,glossary_entry,table_profile,d_comunication_channels,d_comunication_channels,,curated_dimension_mapping,0.9,candidate_unreviewed,Channel concept maps to communication channels dimension.
IQVIA-ATTRIBUTE-clinical-trial-type,Clinical Trial Type,attribute_definition,table_profile,d_clinical_trial_types,d_clinical_trial_types,,curated_dimension_mapping,0.97,candidate_unreviewed,Clinical trial type maps to dimension.
IQVIA-ATTRIBUTE-clinical-trial-type,Clinical Trial Type,attribute_definition,dimension_column,d_clinical_trial_types.CLINICAL_TRIAL_TYPE,d_clinical_trial_types,CLINICAL_TRIAL_TYPE,automatic_exact_normalized_match,0.94,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
IQVIA-ATTRIBUTE-clinical-trial-type,Clinical Trial Type,attribute_definition,dimension_column,d_clinical_trial_types.CLINICAL_TRIAL_TYPE_ID,d_clinical_trial_types,CLINICAL_TRIAL_TYPE_ID,automatic_token_overlap,0.7,candidate_unreviewed,Auto-generated candidate based on normalized string similarity. Validate before approval.
