measure_document_id,title,semantic_type,calculation_pattern,formula_explicitness,source_confidence,notes
IQVIA-PROMO-MEASURE-investments,Investments,base_metric,"Spending Total Euro or PERIODROLLING(Spending Total Euro,-2,0)",pattern_inferred,high,Concetto coperto; il gap e' la resa MON/MQTR del modello PBI.
IQVIA-PROMO-MEASURE-pct-share-of-investments,% Share of Investments,derived_ratio,Spend / total spend in period * 100,explicit_or_near_explicit,medium_high,"La misura esiste in PBI, ma OAS la usa anche a frame MON/MQTR."
IQVIA-PROMO-MEASURE-product-details,Product Details,base_metric,"Product Details or PERIODROLLING(Product Details,-2,0)",pattern_inferred,high,Coperta a livello concettuale.
IQVIA-PROMO-MEASURE-pct-share-of-voice,% Share of Voice,derived_ratio,Product Details / total product details in period * 100,explicit_or_near_explicit,medium_high,Coperta in PBI ma con semantica temporale diversa.
IQVIA-PROMO-MEASURE-investments-by-promotional-interactions,Investments by Promotional Interactions,segmented_metric,Spend split by Digital/Traditional interaction group,pattern_inferred,medium_high,Serve packaging esplicito per canale/interazione.
IQVIA-PROMO-MEASURE-pct-share-of-voice-by-promotional-interactions-channels,% Share of Voice by Promotional Interactions Channels,segmented_ratio,SOV split by Digital/Traditional interaction group,pattern_inferred,medium_high,Non formalizzata come famiglia autonoma.
IQVIA-PROMO-MEASURE-selected-contact-metric,Selected Contact Metric,base_metric_dynamic,"""Calls&Mentions"".""@{var_mea}{Contact Number}""",needs_validation,medium,Il placeholder `@{var_mea}` suggerisce una famiglia dinamica non completamente tracciabile dal dump.
IQVIA-PROMO-MEASURE-pct-of-selected-contact-metric,% of Selected Contact Metric,derived_ratio,Selected contact metric / period total * 100,explicit_or_near_explicit,medium_high,Il modello PBI non espone una famiglia esplicita di share per questa batteria.
IQVIA-PROMO-MEASURE-delta-vs-py-selected-contact-metric,+/- vs PY - Selected Contact Metric,derived_delta,Selected contact metric - selected contact metric PY,explicit_or_near_explicit,medium_high,Richiesta chiaramente nei grafici OAS.
IQVIA-PROMO-MEASURE-deltapct-vs-py-selected-contact-metric,+/-% vs PY - Selected Contact Metric,derived_growth_pct,(Selected contact metric / selected contact metric PY - 1) * 100,explicit_or_near_explicit,medium_high,Non formalizzata nel semantic model corrente.
IQVIA-PROMO-MEASURE-prescription-spend-absolute,Prescription Spend Absolute,base_metric_segmented,@{var_mea_pre}{Spending Total Euro} / 1000 by current/future prescribing,needs_validation,medium,Derivabile da Promo Spend con filtri su Current/Future Prescribing.
IQVIA-PROMO-MEASURE-prescription-spend-pct,Prescription Spend %,derived_ratio,Spend by prescribing segment / month total * 100,explicit_or_near_explicit,medium_high,Richiede misure/pagine dedicate ma non nuova base dati.
IQVIA-PROMO-MEASURE-contact-number,Contact Number,base_metric,"Contact Number or PERIODROLLING(Contact Number,-2,0)",pattern_inferred,high,"Il concetto esiste, il frame MON/MQTR no."
IQVIA-PROMO-MEASURE-share-of-contact-number,Share of Contact Number,derived_ratio,Contact Number / total contact number in period * 100,explicit_or_near_explicit,medium_high,Manca una famiglia esplicita di denominatori/quote contatti.
IQVIA-PROMO-MEASURE-contact-number-with-intention-to-increase-rx,Contact Number with intention to increase Rx,filtered_metric,FILTER(Contact Number USING Future Prescribing = INCREASE),pattern_inferred,high,Concetto presente ma con naming diverso.
IQVIA-PROMO-MEASURE-pct-of-contact-number-with-intention-to-increase-rx,% of Contact Number with intention to increase Rx,filtered_ratio,Filtered Contact Number / total contacts * 100,explicit_or_near_explicit,medium_high,Non formalizzata come misura autonoma.
IQVIA-PROMO-MEASURE-product-details-with-positive-prescribing,Product Details with Positive Prescribing,filtered_metric,Positive prescribing filter on Product Details,explicit_or_near_explicit,high,Molto vicino alla misura PBI esistente.
IQVIA-PROMO-MEASURE-contacts-with-positive-prescribing,Contacts with Positive Prescribing,filtered_metric,Positive prescribing filter on Contact Number,explicit_or_near_explicit,high,Molto vicino alla misura PBI esistente.
IQVIA-PROMO-MEASURE-conversion-rate-pct-of-calls-converted-in-intention-to-prescribe,Conversion rate - % of Calls converted in intention to prescribe,derived_ratio,Positive prescribing calls / Product Details * 100,explicit_or_near_explicit,medium_high,Coperta nel modello attuale.
IQVIA-PROMO-MEASURE-conversion-rate-pct-of-contacts-converted-in-intention-to-prescribe,Conversion rate - % of Contacts converted in intention to prescribe,derived_ratio,Positive prescribing contacts / Contact Number * 100,explicit_or_near_explicit,medium_high,Coperta nel modello attuale.
IQVIA-PROMO-MEASURE-weighted-calls,Weighted Calls,base_metric_dynamic,"""Calls&Mentions"".""@{measure}{WCalls}"" or PERIODROLLING(...,-2,0)",needs_validation,medium,"Base disponibile, ma OAS la usa in una batteria dinamica piu ampia."
IQVIA-PROMO-MEASURE-sovpct-on-weighted-calls,SOV% on Weighted Calls,derived_ratio,Menarini filtered WCalls / market WCalls * 100,explicit_or_near_explicit,medium_high,Non esiste una misura esplicita SOV su Weighted Calls.
IQVIA-PROMO-MEASURE-deltapct-on-weighted-calls-vs-py,+/-% on Weighted Calls vs PY,derived_growth_pct,Growth % on WCalls and MQTR WCalls,explicit_or_near_explicit,medium_high,Mancano le varianti comparative.
IQVIA-PROMO-MEASURE-index-family,Index family,derived_index,Corporation share / market share * 100,explicit_or_near_explicit,medium,Famiglia analitica OAS avanzata non presente nel modello PBI.
IQVIA-PROMO-MEASURE-pct-corp-on-total-pct-market-on-total,% Corp on total / % Market on total,derived_ratio,Corp share on total and market share on total,explicit_or_near_explicit,medium,Necessaria per i report index / ranking OAS.
