document_id,title,domain,subdomain,entity_type,owner,status,version,valid_from,valid_to,region,business_unit,source_system,source_sheet,source_row,evidence_level,audience,language,tags,aliases,section,filepath
IQVIA-GLOSSARY-atc1,ATC1,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,3,source_extract,"business,data,analytics,ai_engineering",en,atc1|glossary-entry|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-atc1.md
IQVIA-GLOSSARY-atc2,ATC2,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,4,source_extract,"business,data,analytics,ai_engineering",en,atc2|glossary-entry|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-atc2.md
IQVIA-GLOSSARY-atc3,ATC3,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,5,source_extract,"business,data,analytics,ai_engineering",en,atc3|glossary-entry|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-atc3.md
IQVIA-GLOSSARY-atc4,ATC4,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,6,source_extract,"business,data,analytics,ai_engineering",en,atc4|glossary-entry|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-atc4.md
IQVIA-GLOSSARY-chc1,CHC1,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,7,source_extract,"business,data,analytics,ai_engineering",en,chc1|glossary-entry|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-chc1.md
IQVIA-GLOSSARY-chc2,CHC2,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,8,source_extract,"business,data,analytics,ai_engineering",en,chc2|glossary-entry|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-chc2.md
IQVIA-GLOSSARY-chc3,CHC3,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,9,source_extract,"business,data,analytics,ai_engineering",en,chc3|glossary-entry|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-chc3.md
IQVIA-GLOSSARY-chc4,CHC4,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,10,source_extract,"business,data,analytics,ai_engineering",en,chc4|glossary-entry|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-chc4.md
IQVIA-GLOSSARY-local-brand,Local Brand,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,11,source_extract,"business,data,analytics,ai_engineering",en,brand|glossary-entry|local|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-local-brand.md
IQVIA-GLOSSARY-intbrandname,IntBrandname,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,12,source_extract,"business,data,analytics,ai_engineering",en,brand|glossary-entry|intbrandname|metrics-measures,International Brand Name|International Product Name,Ungrouped,10_glossary/iqvia-glossary-intbrandname.md
IQVIA-GLOSSARY-manufacturer,Manufacturer,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,13,source_extract,"business,data,analytics,ai_engineering",en,glossary-entry|manufacturer|metrics-measures,,Ungrouped,10_glossary/iqvia-glossary-manufacturer.md
IQVIA-GLOSSARY-int-corp,Int Corp,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,14,source_extract,"business,data,analytics,ai_engineering",en,corp|glossary-entry|int|metrics-measures,International Corporation,Ungrouped,10_glossary/iqvia-glossary-int-corp.md
IQVIA-GLOSSARY-molecule-composition,Molecule (composition),IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,15,source_extract,"business,data,analytics,ai_engineering",en,composition|glossary-entry|metrics-measures|molecule,Active Molecule|Composition|Molecule,Ungrouped,10_glossary/iqvia-glossary-molecule-composition.md
IQVIA-GLOSSARY-product-category,Product Category,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,16,source_extract,"business,data,analytics,ai_engineering",en,category|channel|channeldynamics|glossary-entry|metrics-measures|product,,Ungrouped,10_glossary/iqvia-glossary-product-category.md
IQVIA-GLOSSARY-product-sub-category,Product Sub-Category,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,17,source_extract,"business,data,analytics,ai_engineering",en,category|channel|channeldynamics|glossary-entry|metrics-measures|product|sub,,Ungrouped,10_glossary/iqvia-glossary-product-sub-category.md
IQVIA-GLOSSARY-generic-branded-generic-product,Generic/Branded Generic product,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,18,source_extract,"business,data,analytics,ai_engineering",en,brand|branded|generic|glossary-entry|metrics-measures|product,,Ungrouped,10_glossary/iqvia-glossary-generic-branded-generic-product.md
IQVIA-GLOSSARY-otc-product,OTC product,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,19,source_extract,"business,data,analytics,ai_engineering",en,glossary-entry|metrics-measures|otc|product,,Ungrouped,10_glossary/iqvia-glossary-otc-product.md
IQVIA-GLOSSARY-herbal-medicine-product,Herbal Medicine product,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,20,source_extract,"business,data,analytics,ai_engineering",en,glossary-entry|herbal|medicine|metrics-measures|product,,Ungrouped,10_glossary/iqvia-glossary-herbal-medicine-product.md
IQVIA-GLOSSARY-homeopathy-product,Homeopathy product,IQVIA ChannelDynamics,Core glossary and dimensions,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,21,source_extract,"business,data,analytics,ai_engineering",en,glossary-entry|homeopathy|metrics-measures|product,,Ungrouped,10_glossary/iqvia-glossary-homeopathy-product.md
IQVIA-GLOSSARY-country,Country,IQVIA ChannelDynamics,General,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,23,source_extract,"business,data,analytics,ai_engineering",en,country|general|glossary-entry|metrics-measures,,General,10_glossary/iqvia-glossary-country.md
IQVIA-GLOSSARY-cam-channels,Cam_Channels,IQVIA ChannelDynamics,General,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,25,source_extract,"business,data,analytics,ai_engineering",en,cam|channel|channeldynamics|channels|clinical-trial|detailing|general|glossary-entry|mailing|meeting|metrics-measures,Communication Channels,General,10_glossary/iqvia-glossary-cam-channels.md
IQVIA-GLOSSARY-channels,Channels,IQVIA ChannelDynamics,General,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,38,source_extract,"business,data,analytics,ai_engineering",en,channel|channeldynamics|channels|detailing|general|glossary-entry|mailing|meeting|metrics-measures,,General,10_glossary/iqvia-glossary-channels.md
IQVIA-GLOSSARY-specialty,Specialty,IQVIA ChannelDynamics,General,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,45,source_extract,"business,data,analytics,ai_engineering",en,general|glossary-entry|metrics-measures|specialty,,General,10_glossary/iqvia-glossary-specialty.md
IQVIA-GLOSSARY-channel-type,Channel type,IQVIA ChannelDynamics,General,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,48,source_extract,"business,data,analytics,ai_engineering",en,channel|channeldynamics|general|glossary-entry|metrics-measures|type,,General,10_glossary/iqvia-glossary-channel-type.md
IQVIA-GLOSSARY-multi-channel,Multi Channel,IQVIA ChannelDynamics,General,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,51,source_extract,"business,data,analytics,ai_engineering",en,channel|channeldynamics|clinical-trial|detailing|general|glossary-entry|mailing|meeting|metrics-measures|multi,,General,10_glossary/iqvia-glossary-multi-channel.md
IQVIA-GLOSSARY-sponsoring-company,Sponsoring company,IQVIA ChannelDynamics,General,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,73,source_extract,"business,data,analytics,ai_engineering",en,clinical-trial|company|general|glossary-entry|mailing|meeting|metrics-measures|sponsoring,,General,10_glossary/iqvia-glossary-sponsoring-company.md
IQVIA-GLOSSARY-indication,Indication,IQVIA ChannelDynamics,General,glossary_entry,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,74,source_extract,"business,data,analytics,ai_engineering",en,channel|channeldynamics|detailing|general|glossary-entry|indication|mailing|meeting|metrics-measures,,General,10_glossary/iqvia-glossary-indication.md
IQVIA-ATTRIBUTE-quality-of-the-contact,Quality of the contact,IQVIA ChannelDynamics,Qualitative / Performance attributes,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,77,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|attributes|channel|channeldynamics|contact|detailing|mailing|meeting|metrics-measures|performance|qualitative|quality|the,,Qualitative / Performance attributes,30_attributes/iqvia-attribute-quality-of-the-contact.md
IQVIA-ATTRIBUTE-prescription-current,Prescription - Current,IQVIA ChannelDynamics,Qualitative / Performance attributes,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,82,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|attributes|channel|channeldynamics|clinical-trial|current|detailing|mailing|meeting|metrics-measures|performance|prescription|qualitative,,Qualitative / Performance attributes,30_attributes/iqvia-attribute-prescription-current.md
IQVIA-ATTRIBUTE-prescription-future,Prescription - Future,IQVIA ChannelDynamics,Qualitative / Performance attributes,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,89,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|attributes|clinical-trial|detailing|future|mailing|meeting|metrics-measures|performance|prescription|qualitative,,Qualitative / Performance attributes,30_attributes/iqvia-attribute-prescription-future.md
IQVIA-MEASURE-conversion-rate,Conversion Rate,IQVIA ChannelDynamics,Qualitative / Performance attributes,measure_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,94,source_extract,"business,data,analytics,ai_engineering",en,attributes|conversion|detailing|mailing|measure-definition|meeting|metrics-measures|performance|qualitative|rate,,Qualitative / Performance attributes,40_measures/iqvia-measure-conversion-rate.md
IQVIA-ATTRIBUTE-value-segmentation,Value Segmentation,IQVIA ChannelDynamics,Qualitative / Performance attributes,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,96,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|attributes|detailing|mailing|meeting|metrics-measures|performance|qualitative|segmentation|value,,Qualitative / Performance attributes,30_attributes/iqvia-attribute-value-segmentation.md
IQVIA-ATTRIBUTE-nps-categories,NPS Categories,IQVIA ChannelDynamics,Qualitative / Performance attributes,attribute_definition,TO_BE_ASSIGNED,draft,0.1,,,multi-country,ChannelDynamics,IQVIA CD Metrics Measures Description.xlsx,Metrics & Measures,102,source_extract,"business,data,analytics,ai_engineering",en,attribute-definition|attributes|categories|detailing|mailing|meeting|metrics-measures|nps|performance|qualitative,Net Promoter Score Categories,Qualitative / Performance attributes,30_attributes/iqvia-attribute-nps-categories.md
