scope,report_group,oas_caption,oas_measure_family,time_frame,classification,formula_pattern,pbi_status,target_pbi_measure_family,notes
promo,Promotional Benchmarking,Investments,base_metric,MON|MQTR|QTR,covered_but_time_grain_gap,"Spending Total Euro or PERIODROLLING(Spending Total Euro,-2,0)",covered_but_time_grain_gap,Promo Spend,Concetto coperto; il gap e' la resa MON/MQTR del modello PBI.
promo,Promotional Benchmarking,% Share of Investments,derived_ratio,MON|MQTR|QTR,covered_but_time_grain_gap,Spend / total spend in period * 100,covered_but_time_grain_gap,% Share of Investments,"La misura esiste in PBI, ma OAS la usa anche a frame MON/MQTR."
promo,Promotional Benchmarking,Product Details,base_metric,MON|MQTR|QTR,covered_but_time_grain_gap,"Product Details or PERIODROLLING(Product Details,-2,0)",covered_but_time_grain_gap,Promo Details,Coperta a livello concettuale.
promo,Promotional Benchmarking,% Share of Voice,derived_ratio,MON|MQTR|QTR,covered_but_time_grain_gap,Product Details / total product details in period * 100,covered_but_time_grain_gap,Promo SOV%,Coperta in PBI ma con semantica temporale diversa.
promo,Promotional Benchmarking,Investments by Promotional Interactions,segmented_metric,MON|MQTR|QTR,partial,Spend split by Digital/Traditional interaction group,partial,Promo Spend + Interaction Group,Serve packaging esplicito per canale/interazione.
promo,Promotional Benchmarking,% Share of Voice by Promotional Interactions Channels,segmented_ratio,MON|MQTR|QTR,partial,SOV split by Digital/Traditional interaction group,partial,Promo SOV% + Interaction Group,Non formalizzata come famiglia autonoma.
promo,Promotional Outlook 1/2-2/2,Selected Contact Metric,base_metric_dynamic,MON|MQTR|QTR,partial,"""Calls&Mentions"".""@{var_mea}{Contact Number}""",partial,Promo Contacts / Promo Weighted Calls / dynamic metric selector,Il placeholder `@{var_mea}` suggerisce una famiglia dinamica non completamente tracciabile dal dump.
promo,Promotional Outlook 1/2-2/2,% of Selected Contact Metric,derived_ratio,MON|MQTR|QTR,partial,Selected contact metric / period total * 100,partial,Dynamic share-of-contact metric,Il modello PBI non espone una famiglia esplicita di share per questa batteria.
promo,Promotional Outlook 1/2-2/2,+/- vs PY - Selected Contact Metric,derived_delta,MON|MQTR|QTR,missing,Selected contact metric - selected contact metric PY,missing,Dynamic promo metric Δ vs PY,Richiesta chiaramente nei grafici OAS.
promo,Promotional Outlook 1/2-2/2,+/-% vs PY - Selected Contact Metric,derived_growth_pct,MON|MQTR|QTR,missing,(Selected contact metric / selected contact metric PY - 1) * 100,missing,Dynamic promo metric Δ% vs PY,Non formalizzata nel semantic model corrente.
