document_id,title,domain,subdomain,entity_type,owner,status,version,valid_from,valid_to,region,business_unit,source_system,source_sheet,source_row,evidence_level,audience,language,tags,aliases,section,filepath
IQVIA-PROMO-TECH-D_ATCS,d_atcs,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,technical_validated,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,sql_validated_assessment,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_atcs|dimension,,table_profiles,20_table_profiles/d_atcs-table-profile.md
IQVIA-PROMO-TECH-D_CLINICAL_TRIAL_TYPES,d_clinical_trial_types,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,draft,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,metadata_plus_analysis,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_clinical_trial_types|dimension,,table_profiles,20_table_profiles/d_clinical_trial_types-table-profile.md
IQVIA-PROMO-TECH-D_COMUNICATION_CHANNELS,d_comunication_channels,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,draft,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,metadata_plus_analysis,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_comunication_channels|dimension,,table_profiles,20_table_profiles/d_comunication_channels-table-profile.md
IQVIA-PROMO-TECH-D_CONTACT_QUALITY,d_contact_quality,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,draft,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,metadata_plus_analysis,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_contact_quality|dimension,,table_profiles,20_table_profiles/d_contact_quality-table-profile.md
IQVIA-PROMO-TECH-D_CONTACT_TYPES,d_contact_types,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,draft,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,metadata_plus_analysis,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_contact_types|dimension,,table_profiles,20_table_profiles/d_contact_types-table-profile.md
IQVIA-PROMO-TECH-D_CORPORATIONS,d_corporations,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,technical_validated,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,sql_validated_assessment,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_corporations|dimension,,table_profiles,20_table_profiles/d_corporations-table-profile.md
IQVIA-PROMO-TECH-D_COUNTRIES,d_countries,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,draft,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,metadata_plus_analysis,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_countries|dimension,,table_profiles,20_table_profiles/d_countries-table-profile.md
IQVIA-PROMO-TECH-D_DETAILS_DURATION,d_details_duration,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,draft,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,metadata_plus_analysis,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_details_duration|dimension,,table_profiles,20_table_profiles/d_details_duration-table-profile.md
IQVIA-PROMO-TECH-D_INTERNATIONAL_BRANDS,d_international_brands,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,technical_validated,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,sql_validated_assessment,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_international_brands|dimension,,table_profiles,20_table_profiles/d_international_brands-table-profile.md
IQVIA-PROMO-TECH-D_LOCAL_BRANDS,d_local_brands,IQVIA Promotional / Channel Dynamics,Databricks technical semantic layer,dimension_table_profile,ccantamaglia@ext.menarini.com,technical_validated,0.2,,,multi-country,ChannelDynamics,dev_iqvia_catalog.trusted_starschema_01,,,sql_validated_assessment,"data,analytics,ai_engineering,business_bi",en,promo|technical-layer|d_local_brands|dimension,,table_profiles,20_table_profiles/d_local_brands-table-profile.md
